id;age;gender;preference;location
1;42671;Lucia;neutral Guarani Dynamic;efficient
2;90295;Borders;holistic;Bacon
3;90112;national primary;PNG Borders;Electronics e-business
4;45593;User Loan mindshare;Credit;THX invoice Account
5;50085;Kroon;generating;object-oriented Principal Trace
6;84141;parsing Nicaragua;Persevering Savings Home;solid synthesize
7;21683;Organic Salad Plastic;Wooden methodologies Locks;microchip backing sensor
8;33073;Bike;payment purple Maine;Borders relationships contingency
9;28708;connecting;Minnesota California;reboot
10;81949;virtual;Executive Director Avon;synthesize scalable markets
