id;start_time;end_time;location
1;2024-03-05T14:57:01;2024-03-04T23:41:01;object-oriented haptic
2;2024-03-05T10:04:45;2024-03-04T21:29:19;Loan
3;2024-03-05T00:29:31;2024-03-04T20:59:07;Corporate Buckinghamshire Security
4;2024-03-05T14:01:30;2024-03-05T13:50:12;markets model bricks-and-clicks
5;2024-03-05T14:36:23;2024-03-04T22:49:57;orchestrate Toys
6;2024-03-04T19:23:46;2024-03-05T05:49:14;convergence
7;2024-03-04T17:03:44;2024-03-04T19:04:01;Buckinghamshire withdrawal Dynamic
8;2024-03-04T20:54:45;2024-03-04T19:41:19;IB Ergonomic blue
9;2024-03-04T19:07:27;2024-03-04T19:25:55;Rustic Tuna
10;2024-03-05T07:06:57;2024-03-05T14:39:18;California Lead
