id;venue_name;venue_cost;venue_host;venue_address
1;Cotton Technician Towels;77226;Keyboard;Credit clicks-and-mortar Car
2;Director Salad;38876;deposit Lek;Web COM
3;Groves;80090;Personal;Books Towels
4;Metal Practical Market;61557;Optional;overriding
5;Direct e-commerce;8966;EXE;deposit Producer Dinar
6;PCI Islands;8977;executive out-of-the-box;SQL Iowa optical
7;orchid methodical;86454;Forward;Associate Ouguiya Refined
8;Intranet Market;81812;Implementation;deposit SMS
9;interactive moderator;6026;Moldova;eyeballs
10;withdrawal Shirt;35287;Lesotho revolutionize;Borders primary payment
