id;information;business_hours;special_services_available
1;Avon real-time;ubiquitous;Computer Analyst
2;capacitor Sleek;lavender Berkshire;Chair ability
3;withdrawal Regional Total;payment Shirt target;Executive copy
4;Concrete quantifying;wireless;withdrawal Identity Grocery
5;Ergonomic;open-source Table;plum maximized
6;Vista;Engineer Supervisor;Configuration Senior
7;Inverse mindshare Keyboard;Indiana bleeding-edge;HTTP global
8;Intelligent cross-platform;fresh-thinking lavender;foreground Customer
9;Checking;turquoise Practical;Public-key
10;Directives Cambridgeshire;Progressive;24/7
