id;date;start_time;end_time
1;2024-03-04T19:43:41;2024-03-05T14:42:23;2024-03-04T22:27:30
2;2024-03-04T20:25:15;2024-03-04T22:07:59;2024-03-05T08:04:07
3;2024-03-05T07:05:50;2024-03-04T21:30:06;2024-03-05T05:42:58
4;2024-03-04T17:33:30;2024-03-05T02:58:01;2024-03-05T07:03:22
5;2024-03-05T09:45:52;2024-03-04T18:15:03;2024-03-05T06:21:11
6;2024-03-04T15:43:57;2024-03-05T00:30:34;2024-03-04T18:10:46
7;2024-03-05T03:05:42;2024-03-05T10:43:35;2024-03-04T22:20:50
8;2024-03-05T11:01:58;2024-03-05T04:48:12;2024-03-05T08:01:06
9;2024-03-05T10:29:20;2024-03-04T16:33:33;2024-03-05T11:02:38
10;2024-03-05T08:39:59;2024-03-05T05:17:00;2024-03-05T01:58:31
