id;name;company_name;rating;description;quantity;contact
1;auxiliary regional;Cambridgeshire;2;Borders Awesome Soap;85491;monitor Liaison
2;Tennessee indexing;payment Robust;1;compressing rich of;25857;Awesome Pre-emptive Park
3;Persistent invoice;markets Infrastructure West;2;Meadow Beauty neural;62911;Grocery alarm
4;Antillian;Inverse PNG;1;program;49597;convergence Soft
5;virtual;Sausages;1;Kentucky Shoes Applications;79889;Small B2B
6;Common dynamic;Intranet Comoros;5;leverage;49465;calculating Identity Coordinator
7;Ball Baby Orchestrator;International invoice;5;Accounts frictionless GB;74759;generate hacking
8;asynchronous Unbranded;back-end;0;Practical;86709;coherent Planner JBOD
9;encoding Sudan;port;4;Chief directional;310;virtual Computer
10;maximize payment;port Sleek overriding;5;client-server Carolina;29406;Optional navigate
