id;name;cuisine;rating;description;quantity;contact
1;Knoll;Soft;3;Dynamic;2044;parse Georgia
2;e-services protocol withdrawal;Dynamic Station;3;Generic;42358;Branding Syrian
3;THX;Home;1;Berkshire;5157;quantify
4;Officer evolve;up;3;Tactics Villages modular;62734;Minnesota Peso magenta
5;Ameliorated Handcrafted Fully-configurable;background Data;5;Cambridgeshire cross-media project;21946;aggregate
6;high-level Electronics;implementation Engineer Configuration;0;Shilling;44580;Card
7;solid feed Planner;deposit;3;Account Cotton;96127;Rica invoice
8;Idaho Pizza;seize;4;Card Soft;6491;ADP override
9;generating experiences implement;Refined Bedfordshire AI;4;Borders Account 5th;5375;Illinois
10;Mountains mobile program;system;3;hacking;39960;Pike
