id;content;with_multi_media;image_path;video_path
1;Avon;true;Light;Computer
2;synergize invoice virtual;true;alarm Soap;withdrawal
3;withdrawal;true;Digitized;yellow sky Pataca
4;Market intermediate multi-byte;true;quantify benchmark;Granite Keyboard
5;schemas Analyst supply-chains;true;Mouse black open-source;azure Mississippi
6;Junctions global Coordinator;true;success;Legacy
7;Loan Meadow Bedfordshire;false;Towels Uzbekistan;Liaison pixel
8;Pizza drive;false;Licensed Optimization Account;Unbranded override
9;Direct installation;true;Facilitator dynamic backing;Philippine
10;Direct;false;deposit;Forward HDD
